,text,score
38,dari dulu sampe sekarang emang gak rubah selalu tetap jadi,-1
39,retweet please nmenurut anda paslon mana yang paling pantas pimpin jakarta lima tahun depan,-1
40,momen tak lupa,-1
41,anies dan agus adalah dua orang yg mimpi semua perfect tdk ada yang salah dan harus jadi manusia tanpa caca u,-1
42,balik lg ke kerja masing lah n balik jadi tentara n balik jadi gubernur n balik jadi motivator,-1
43,tidak bisa dalam waktu tahun hrs beres semua karena masih ada yg dalam progres ini bukan sulap simsalabi u,-1
44,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
45,gitu yg mau jadi pimpin udah salah harus intropeksi diri bukan ngacuin jempol bawah gitu emak sylvii udd ude,-1
46,kalau guna fantasi agus maka agus bisa tuding bahwa sby tidak beres pimpin  tahun masih banyak yang miskin,-1
47,kalau guna fantasi anies maka anies bisa tuding bhw ali sadikin bapak boy sadikin gak beres pimpin jakart,-1
48,yang kiri dia pikir dia ariel yang tengah dia pikir dia orangtua dan yang kan dia pikir dia tau hahaha u,-1
49,saya kaget lihat jempol bu silvy bawah saat dengar jelas paslon emang hrs gitu ya bu silvy kayak preman u,-1
50,knp sylviana acung jempol bawah bicara panjang lebar tanpa ada tanya n nkarena cewek tidak p u,-1
51,nurunin jempol bawah ya tadi wkwkww attitude nya mana ya,-1
52,ipm di dki tinggi dasar data bps bagaimana mas cc n,-1
53,belum debat kompak dukung agus  sylvi telah makin solid dukung,-1
54,paslon masih bicara seperti anime naruto dan bleach n nbanyak filler n n,-1
55,debat kok saling jatuh ki pie dua dua nya nyerang eh malah tengkar sendiri yg di serang lerai ngakak udd ude n,-1
56,pdip sengaja becah belah rakyat warga dki tidak pilih ahok janji calon gubernur soal bang,-1
57,anies makin lihat asli masyarakat sudah cerdas tidak mudah bohong dengan opini yang kelabu data,-1
58,mgk baik siap beli tiket pswt pulang ke kampung nenek moyang di a b sana udd ude udd ude uc ufef ufef,-1
59,bukti ucap ahok bhw menteri dapat raport paling buruk di peringkat n,-1
60,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
61,di ada pak antasari azhar suporter paslon teriak bongkar bongkar ada orang ibu dag dig dug,-1
62,pilkada dki jangan pilih pki bahaya pilih atau saja wakil ormas islam j,-1
63,jangan pernah roboh pagar tanpa tahu me,-1
64,waktu agus bilang gak gusur tapi cuma geser gue inget tatan lhoo,-1
65,kata siapa mas agus enggak punya solusi utk masalah dki jkt mas agus itu punya solusi bambang yudhoyono sby udd ude,-1
66,tidak bisa dalam waktu tahun hrs beres semua karena masih ada yg dalam progres ini bukan sulap simsalabi u,-1
67,ketidakberhasilan anies baswedan dalam pimpin menteri banyak masalah dan belum lagi soal salah hitung anggara u,-1
68,anies baswedan hanya urus satu urus saja beranta bagaimana dia bisa fantasi selesai banyak urus u,-1
69,nah gue pikir sentimen tahana oke di malam tapi mnrt politicawave malah balik geng u,-1
70,ibu sylvi adalah contoh bahwa wanita itu sulit tebak dan pak anies contoh pria yg gak peka,-1
71,besok saya ajak kesana saja saya udah survei minggu lalu itu masuk bagi dr ibukota jakarta udd udea,-1
72,benerr bgt dan tidak ajak tonton ikut mikir udd ude,-1
73,pak anis kl pas libur lebaran iseng deh ke ancol itu pantai isi rakyat semua pak bukan kecebong,-1
74,sedang paslon to the point jawab punya data dan semua orang s u d a h tau transparasi kerja,-1
75,kami ingin layan karena rakyat adalah boss kami pls u,-1
76,kami ingin layan karena rakyat adalah boss kami pls u,-1
77,yang kiri dia pikir dia ariel yang tengah dia pikir dia orangtua dan yang kan dia pikir dia tau hahaha u,-1
78,acung jari bawah masuk bagi dari ras dan itu laku paslon turut sy itu attitude yg kurang baik u,-1
79,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
80,pilkada dki jangan pilih pki bahaya pilih atau saja riah warga dan turis saksika,-1
81,ibu terima kasih atas doa dan kumpul ajar yang telah bangun pikir karakter dan semangat untuk berju u,-1
82,mgkin rasa survey si anis naik jadi malah dia keburu ingin ngejar prosentase hasil survey macam u,-1
83,apresiasi buat mbak sbg moderator pasti punya tantang trsendiri mnghadapi karakter manusia pada saat itu udd ude,-1
84,visi misi anies adalah nilai buruk orang lain,-1
85,jangan pilih cagub yg dekat dgn sarang koruptor udd ude,-1
86,ngerih n,-1
87,ini artikel yg jelas nyata di yg dapet respon positif di socmed adalah,-1
88,belum debat kompak dukung agus  sylvi telah makin solid dukung,-1
89,kang jika pimpin hanya bangun apa beda dengan fir aun,-1
90,anies dan agus adalah dua orang yg mimpi semua perfect tdk ada yang salah dan harus jadi manusia tanpa caca u,-1
91,sylviana kesyikan ngomong sendiri lupa tanya anies asyik nyerang pake data yg salah ya ahok joged aja udd ude,-1
92,mpok salah sebut dg uu no kait kelola sampah padahal yg benar uu u,-1
93,yang kiri dia pikir dia ariel yang tengah dia pikir dia orangtua dan yang kan dia pikir dia tau hahaha u,-1
94,berfikir sehat n,-1
95,pak anies sempat ngomong visi misi malah salamsalamin orang,-1
96,kalau guna fantasi agus maka agus bisa tuding bahwa sby tidak beres pimpin tahun masih banyak yang miskin u,-1
97,makin paham siapa ahokdjarot nyata mrk mmg kerja sekaligus pikir handal dg mampu multitasking sbg tahana udd udcd u,-1
98,cagub no dan cuma bagai lengkap alias gembira mrka dua bukan lawan padan ahok,-1
99,ken tau apa tanggap dan kalau gak perlu tanya ntar ngak nyambu u,-1
100,smoga yg baik utk indonesia bagus,-1
101,retweet please nmenurut anda paslon mana yang paling pantas pimpin jakarta lima tahun depan,-1
102,pasca kena batu bentak kapolres jakarta selatan karena bikin macet jalan n,-1
103,mgk baik siap beli tiket pswt pulang ke kampung nenek moyang di a b sana,-1
104,pdip sengaja becah belah rakyat warga dki tidak pilih ahok teh hij,-1
105,para pemujapemuji kalau msh juga puji ini terlalu mbok ya kalau tugas boleh tapi realistis u,-1
106,retweet please nmenurut anda paslon mana yang paling pantas pimpin jakarta lima tahun depan,-1
107,para pemujapemuji kalau msh juga puji ini terlalu mbok ya kalau tugas boleh tapi realistis u,-1
108,sylviana kesyikan ngomong sendiri lupa tanya anies asyik nyerang pake data yg salah ya ahok joged aja udd ude,-1
109,meme baik awal tahun ini pecah goks,-1
110,paslon akan wujud birokrasi jakarta yang bersih dan layan dengan hati,-1
111,pilkada dki jangan pilih pki bahaya pilih atau saja djarot pak habibie mint,-1
112,dan belum temu kualitas paslon amp,-1
113,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
114, agus mungkin kebykan nonton harry potterdikit terbang apung atau emang jago mimpi nipu dosa lho,-1
115,jadi tanya apa dan ahok pun joged,-1
116,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
117,pdip sengaja becah belah rakyat warga dki tidak pilih ahok lazio d,-1
118,mantan tri didik yg harus santun dan bijak dalam bicara malah selalu serang dan jatuh,-1
119,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
120,kosep geser tanpa gusur hellowww masuk akal gk ya,-1
121,banding ntb dengan dki jakarta apa pantas padahal kita sama tahu jika mau banding sesuatu harus banding,-1
122,pilih awam pasti susah paham dg istilah asing yg hambur dr paslon n buknnya rakyat jd bahagia malah pusing,-1
123,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
124,pk anis nyinggung kjp rakyat jkt perlu tau nih justru pk anis itu di copot oleh pk jkw krn ngurus kip gk hasil,-1
125,kalau guna fantasi anies maka anies bisa tuding bhw ali sadikin bapak boy sadikin gak beres pimpin jakart u,-1
126,lah lu monolog jam yg hadir orang lu sendiri puja knp gak jelas ngeles aja emg gak bisa u,-1
127,pdip sengaja becah belah rakyat warga dki tidak pilih ahok tekuk t,-1
128,pak ahok sudah tepat pake data data dr kompas jg benar juga tp pak anis sudah tdk jabat menteri udd ude cc u,-1
129,tidak bisa dalam waktu tahun hrs beres semua karena masih ada yg dalam progres ini bukan sulap simsalabi u,-1
130,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
131,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
132,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
133,panik karena dakwa makin kuat bakal pilih lagi wkwkwkwk,-1
134,wah pak kurang tepat ini data,-1
135,bangkeeeeee siapa nih yang buat meme seperti ini gw ngakak brutal sampai planet jupiter hahahahaha u,-1
136,hanya beliau yg berani nyata diri layan dan akan layan masy dki sangat mulia terima kasih pak,-1
137,pdip sengaja becah belah rakyat warga dki tidak pilih ahok spurs s,-1
138,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
139,tonton debat cagub dki agus masih khayal,-1
140,akan siap bangun sistem transportasi dengan transparasi utk jawab tanya dari u,-1
141,pdip sengaja becah belah rakyat warga dki tidak pilih ahok perinta,-1
142,pilkada dki jangan pilih pki bahaya pilih atau saja hujan dan pasang laut di,-1
143,komitmen paslon birokrasi dengan semangat layan publik,-1
144,pak anies kita paham thn tdk ckup buat jkrta sempurna pasti ada kkurngan yg kita lihat itu progress jkt lebih baik n,-1
145,makin sering debat makin lihat karakter dan isi kepala paslon pokoke blt pasti kelar rw kasih duit kelaaar u,-1
146,ada yg jadi jd pimpin thn nggak jd apa sementara ahok baru thn sdh rubah jakarta apalagi kalau tambah u,-1
147,orang dosen yang harus kagum karena cerdas otak tapi ketika runtuh karena hobi jatuh orang lain u,-1
148,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
149,kirain cm sy yg ngrasa pas senyum sinis saat paslon sdg bicara mana brkacak pinggang pulak,-1
150,pdip sengaja becah belah rakyat warga dki tidak pilih ahok liverpo,-1
151,allah swt maha tahu yg ada di dlm hati kita amp,-1
152,dulu idola anies skrg jujur knapa anies jd karakter jahat ada yg ngerasa sama apa cmn gw,-1
153,ini harga perberita wartawan yang pelihara oleh pdip,-1
154,paslon gak ngerti brarti nyerang npaslon yg penting jakarta maju npaslon yg penting banyak kata mutiara u,-1
155,belum jd gubernur saja laku sdh norak gus debat ngomongin macet tp lu sndri bikin macet,-1
156,ya itu mental baru kelas danramil lagak jenderal,-1
157,kembali saya ingat siapa pun n nsekali lagi n ns i a p a p u n n nyang akhir menang n nyeezy kemal sudah siap n n,-1
158,pikir saya hanya no yg lindung rakyat sdgkan no amp,-1
159,pak anies ga pernah liat kali ya tiap pagi warga nungguin pak ahok depan kantor buat nyari solusi masalah mereka,-1
160,jelas pk ahok paling brkemampuan jd gubernur nklo yg kalian prmslahkan itu pribadi kalian cuma gak kenal sja asli baik n,-1
161,beda dan kalau agus warga seragam kalau ahok warga agam ingat kata agus a u,-1
162,surat annisa sangat pas dengan kondisi sekarang n n,-1
163,ken tau apa tanggap dan kalau gak perlu tanya ntar ngak nyambu u,-1
164,at least agus ahok ngomongin visi misi mereka di visi misi bukan nyoba ngejatohin orang ya,-1
165,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
166,moment of the day ahok jadi wasit ude udd ude udd ude udd n n,-1
167,ahok lerai sylvi dan anies the best moment of,-1
168,pilkada dki jangan pilih pki bahaya pilih atau saja nu dukung polda bal usu,-1
169,rakyat jakarta kok byk yg milih paslon ya smp ada di urut ke gitu pdhl msh naif amp,-1
170,kirain cm sy yg ngrasa pas senyum sinis saat paslon sdg bicara mana brkacak u,-1
171,ini harga perberita wartawan yang pelihara oleh pdip,-1
172,akhir publik pun tau mna yg layak dan uji,-1
173,skak mat untuk mpok silvi si mpok langsung acung ibu jempol ke bawah duhh jaga etika mpok malu tonton jut u,-1
174,buruk attitude bu sylvi dengar jawab pak ahok buat gestur jempol ke bawah wow,-1
175,cara paslon tanya ke paslon seperti sedang adu domba depan juta pasang mata tanpa etika u,-1
176,satu statement agus yang saya tuju dan erti tanya kepada paslon untuk serang no hahahaha,-1
177,aduh gw mah malu di kata orang jkt goblok apa,-1
178,ahok kami bukan saja rencana lawan ketidakadilan sosial dalam birokrasi kami sudah laku kami hilang pungli dsb,-1
179,semua orang sudah pintar kok jangan buang uang dan waktu sia sia,-1
180,waduh beneran kayak data dari ibu susanti,-1
181,anies ucnamanya sunda kelapa tapi mana kelapa ud n n,-1
182,makin lihat no tidak layak pimpin ada yg sdg selisih malah diketawain dan adu pula,-1
183,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
184,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
185,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
186,paslon berangkat dari orang tua npaslon berangkat dari alam npaslon berangkat dari teori n n,-1
187,nah sekarang saya bisa bayang koruptor rangkul tikus pesta rumah kumuh luk untung cuma bayang u,-1
188,telah saksi malam siapa yang paling pantas untuk pimpin dki jakarta,-1
189,keren nih serang masalah didik dki terus cerdas kenapa gak jadi mendikbud aja ya n n,-1
190,ahok kenal sbg gub tdk santun tp kok kesan saya si ahok paling santun ya hari ini dbanding agus dan anis,-1
191,gw bisa bayangin demo panjang tahun dgn rugi materilnon materil jika no msh nongol di dki negara tdk kondusif,-1
192,yang lain akan tanggulang banjir no sudah hilang banjir,-1
193,akhir kita tahu maksud pak jokowi,-1
194,bentar lagi bakal muncul jadi trending topic jadi tanya apa udd ude,-1
195,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
196,ahok agus atau anis atau pilih si anu anda yang tentu,-1
197,pak anies kita paham thn tdk ckup buat jkrta sempurna pasti ada kkurngan yg kita lihat itu progress jkt lebih baik n,-1
198,pak anies nyerang paslon pakek data tapi nyata data hoax ufffd ufffd uc,-1
199,highlight tonite n nbu silvi bla bla udd udca u udd udca npak anies terus tanya apa nbu silvi dasar cowo gak peka n n,-1
200,mau tipu public ya pak ckckck nkatanya harus jadi teladan,-1
201,kl turut pak paslon mana yg penuh retorika atau teori dan paslon mana yg pis misi kerja nyata utk u,-1
202,di ini pak anies bohong dan tidak pakai data,-1
203,tiap debat isi n kami akan akan akan akan akan akan pilih yg sudah,-1
204,ahok tetap naik jd gubernur nsalam jari,-1
205,kali ini pak anies nyebelin dari yang lalu bicara kaya ulama sekarang liat jadi politikus yang hau u,-1
206,anggota kerabat sebut keluarga jakarta debat rebut naga,-1
207,jadi tanya apa dan ahok pun joged,-1
208,analisis mengapa ahok unggul u dan paling muas pasca debat,-1
209,pilkada dki jangan pilih pki bahaya pilih atau saja kesan pasang calon usa,-1
210,mungkin maksud paslon sprt ini udd ude udd ude udd ude n n n,-1
211,hanya ahok djarot pantas pimpin jakarta lewat,-1
212,ahok gimana cara bangun tanpa gusur n nanak pepo geser dikit pak n ndikira angkot kali udd ude udd ude,-1
213,n nmemalukan muak nt lps anda cagub tpi prilaku anda tak pantas sbg anak ex u,-1
214,bingung,-1
215,ahok salah data di peringkat kemdikbud nyata bukan,-1
216,momen tak lupa,-1
217,itu tipu amp,-1
218,paslon akan naik gaji guru paud jika pilih waktu jadi mendikbud ente ngapain bray tidu u,-1
219,tiap debat isi n kami akan akan akan akan akan akan pilih yg sudah,-1
220,burung tilang suka nyanyi nyanyi atas peti yg lain cuma asal bunyi hanya no yang kasih bukti u,-1
221,orang tua yg benar kenal anak wlpn banyak,-1
222,paslon dalam makin tekan dan kritisi oleh paslon dan malah makin tunjuk kualitasn u,-1
223,coba deh buka mata dan hati lebar lebar dan legowo npak pantas saja buang u,-1
224,akhir kita tahu maksud pak jokowi,-1
225,masyarakat di edukasi jangan bodoh di beri solusi jangan upa semu janji,-1
226,ogah pilih koruptor masjid,-1
227,gestur anies lihat sinis dan sandi terlalu fokus soal kewirausahaan banyak hanya bicara akan dlm,-1
228,jakarta bukan simsalabim byangannya gampang nyata susah n,-1
229,wong debat serius kok malah digawe meme urip kakean guyon ndes situ sehat,-1
230,tetep nggak ada solusi,-1
231,anies tanya apa nsylvi boleh geser dikit nahok ude udd nagus bisaaa n,-1
232,paslon justru tenang amp,-1
233,maling bansos maling dana bangun masjid pa lagi anak maling uang negara,-1
234,prtnyaan pk ahok bagus pnasran jg bgmn cara geser pmukiman amp,-1
235,maling bansos maling dana bangun masjid pa lagi anak maling uang negara,-1
236,strategi konyol dalam sejarah acara debat sangat tidak intelek dan malu,-1
237,ahok tetap naik jd gubernur nsalam jari,-1
238,cuma ngasih tau ini lho contekanya ketuker daftar belanja,-1
239,ogah pilih koruptor masjid,-1
240,bagus lihat dari hasil nyata sangat kuasa masalah teknis sikap tegas memang kadang bawa korban n,-1
241,prof dr hj ini tnyata lupa kl attitude itu imaging atau memang itu karakter asli yg muncul spontan,-1
242,gelar ph d anies baswedan tidak malu serang dgn data abal,-1
243,ujar benci wajar namany juga orang pen jdi gubernur bohongin publik juga jadi,-1
244,pilkada dki jangan pilih pki bahaya pilih atau saja tni al tangkap kapal tki,-1
245,nlansia ibu dan wanita jakarta yang layak mulia bagi si dakwa ahok cuma leluco u,-1
246,pilkada dki jangan pilih pki bahaya pilih atau saja kesan pasang calon usa,-1
247,capedehhhh kumpul tukang tipu,-1
248,cara mas anies buka sesi debat elegan dan keren banget,-1
249,ide cerdas paslon ingin beri subsidi kpd angkot bagus jakarta amp,-1
250,ikut yuk n nkita pilih ahy gong xi fa cai,-1
251,lihat koruptor yg agama cuma di bibir amp,-1
252,pdip sengaja becah belah rakyat warga dki tidak pilih ahok olah,-1
253,agus beranda pukul anis punya jurus latih cuma sekali ahok punya satu pukul di latihn kali,-1
254,makin ahokdjarot kritik dan tel justru makin bukti benar kerja n,-1
255,asa kan manfaat nya drpd dulu mending sekarang n n n,-1
256,kepadapaslon n kembali k barak dasarcalonkarbitan n kembali k balai kota gubernurbeneran n kembali k kampus dosenbeneran,-1
257,salah pilih pasang atau jodoh yg paksa n n n,-1
258,beda konsep bangun jakarta vs ahy,-1
259,ahok jarot krn sdh bukti sementara paslon dan hanya retorika dan masih dlm angan,-1
260,eh ini nyinyir dulu ya itu paslon punya program ga sih daritadi kerja korek aib orang doang,-1
261,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
262,pokok hari ini harus tapi tanggal feb,-1
263,paslon kami akan begini begono harus begini begono rencana kami begini begono tapi inyon u,-1
264,antasari azhar datang tak datang,-1
265,gestur anies lihat sinis dan sandi terlalu fokus soal kewirausahaan banyak hanya bicara akan dlm,-1
266,kapolri minta masyarakat lihat video pidato ahok cara utuh lewat,-1
267,ketua mui minta ahok jelas minta maaf,-1
268,lihat kemarin jelas bahwa yg jadi adalah lawan thd ubah unt kembali ke ma u,-1
269,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
270,masalah awal dari kasus nista agama npenyelesaiannya jadi sumber masalah baru wujud kriminalisasi amp,-1
271,bener  bener kelar dki kalo emak yang pic jadi,-1
272,cadasss mas agus keren nih live mata najwa daripada gubernur kontroversi muluk udd ude,-1
273,mas agus tanggap tanya mslh dinasti kata bhw dinasti itu konotasi negatif amp,-1
274,mukaya agus merah bangettt cari dukung tonton pula untuk dukung jwbannya wkwkw,-1
275,mas agus yudhoyono tetap yang baik moga sukses di pilkada dki,-1
276,baik mau komentar apa juga bingung n,-1
277,paslon nmiliter loncat k gubernur n npaslon nbupati naik wagub naik gbernur n npaslon ndosen jd tri dcopot amp,-1
278,agus itu memang cerdas n jadi gugup najwa,-1
279,bangun tanpa sakit naniessandi cerdas santun amp,-1
280,ahok sudah minta maaf arti dia aku diri salah tinggal proses hukum jalan fadli zon,-1
281, cakep berentiin reklamasi agar kita dpt pantai pass di depan rumah kita pass lagi musim hujan hadew,-1
282,paslon once said jangan pilih pimpin yang justru pecah belah tonight i realised he should keep it for himself udd udec,-1
283,malaysiakini ahok mohon maaf tikai al quran ketika berkempen bahagian siasat jenayah polis ter,-1
284,lensaindonesia muhaimin iskandar minta maaf ahok sangat kita harga via lensaindonesia,-1
285,tahun saat live dg mas agus sama sekali tidak pikir untuk terjun ke dunia politik,-1
286,langsung ke pancing mas agus militer keluar p n,-1
287,jadi tanya apa,-1
288,pdip sengaja becah belah rakyat warga dki tidak pilih ahok temu,-1
289,pilkada dki jangan pilih pki bahaya pilih atau saja soal ganti patrialis,-1
290,perhati tiap sandi jawab seluruh tanya pasti ujung nyambung ke lapang kerja hanya kuasa itu saja,-1
291,sodorin cermin ke minta yg pegang,-1
292,polri minta masyarakat ikut awas proses hukum kasus ahok,-1
293,polisi cari saksi yang dengar langsung nyata ahok di pulau ribu,-1
294,silvy bla bla bla nya waktu habis nanies jadi tanya apa nsilvy pikir aja sendiri dasar smw cowok gak peka n,-1
295,silvy ke sandi uckita hampir pasang u ud n nnggak mau bayangin n n,-1
296,bagus juga ya untuk labuh semua lebih guna data lama daripada yang baru,-1
297,ini jg bs jd teman ngopi nkapolri minta masyarakat lihat video pidato ahok cara utuh via,-1
298,hooo ada agus yudhoyono di mata najwa nang gagah sih n n,-1
299,moga tdk ada sesal stlh resign dr tni mas agus yudhoyono politik bukan dunia anda tni lbh mbutuhkanmupassion mu dsana,-1
300,cb pake ini aja bisa sambil ngintip mas agus,-1
301,gak ada program tanya apa npslon program sedang jalan npslon minta bantu paslon bikin program,-1
302,pilkada dki jangan pilih pki bahaya pilih atau saja begini jejak lari,-1
303,telah hadir di studio agus harimurti yudhoyono bakal calon gubernur dki jakarta yang usung partai demokrat ppp pkb amp,-1
304,aduh gw mah malu di kata orang jkt goblok apa,-1
305,yah nama jh odong si,-1
306,kecuali krn gag suka program anies n,-1
307,ya kalo belum kan tinggal bilang aja mz agus yudhoyono itu undang kok sama mata najwa,-1
308,presidenkapolrigub dki paling top lama gw jd warga dki udd udcaa udc udfff gbu all bapak udd udef udc udffb,-1
309,ini video saat nusron wahid kritik mui soal ahok,-1
310,rachmawati singgung megawati ajak ahok ke makam bung karno,-1
311,mas agus tanggap tanya mslh dinasti kata bhw dinasti itu konotasi negatif amp,-1
312,suka ga suka ahok yg ajarin kita utk mantau rapat di youtube kalau niat jelek mah buat apa toh kita ga minta n,-1
313,aamiin mudah daerah yg lain segera susul lapor naamin,-1
314,cerita haru koh anton medan hadap koh ahok ahok patriot bangsa indonesia yang islami meski bukan islam n,-1
315,agus yudhoyono lawak di mata najwa udd ude,-1
316,lah kata syafii maarif dia gak kenal ahok,-1
317,langsung ke pancing mas agus militer keluar p n,-1
318,lebih ke penasaran sih sama apa target agus yudhoyono sampe rela henti dari militer,-1
319,ini imbau ahok supaya milik klub malam di jakarta tak tutup usaha via,-1
320,mereka senang karena di harga oleh pak ahok nmereka bangga hidup ubah ntanpa mereka semua jakarta bagai tum u,-1
321,aku nelayan ini ungkap jasa besar ahok balik kisruh reklamasi n,-1
322,sobat relasi jgn lupa saksi live talkshow mas agus harimurti yudhoyono di mlm ini pkl wib di u,-1
323,bukan hanya tapi juga medan surabaya aceh dan tidak mustahil umat di juga neg u,-1
324,tuh sm kerja buat steatment spt nkri ini negara arab masa mau bunuh ahok emang mrk nabi yg mau ko u,-1
325,alas anies sering turun ke masyarakat meski belum masa kampanye,-1
326,mas agus yudhoyono kok liat lebih ganteng yah malam ini di,-1
327,najwa ken posisi agus seperti mantan gub dki yg janji tahun mimpin dki nyata malah nyapres gitu lho nge u,-1
328,nyata mas agus ini kayak politikus kawak mantap counter attack,-1
329,ini video saat nusron wahid kritik mui soal ahok,-1
330,tanggap anda tentang rekomendasi mui hadap duga nista agama oleh ahok,-1
331,cuci mata sesimple mantengin mas agus di mata najwa awww,-1
332,agus yudhoyono nyata lebih lugas dan tegas dalam jawab banding sang bapak sby yg selalu hati dlm jawab keren n,-1
333,lama mas jomo msh jadi kusir temtu doi ga boleh sentuh lbh baik kita rapat baris thd islam yg m u,-1
334,agus yudhoyono tidak bisa dikte oleh mata najwa semua tanya najwa yg arah pojok dan jatuh justr u,-1
335,laknat biar modyaaarrr ini video saat nusron wahid kritik mui soal ahok,-1
336,polri kaga punya nyali udd udce,-1
337,jkw u ahok dua seperti dua joli yang sering bentrok dengan rakyat bukankah sejati pimpin itu member u,-1
338,kibas rambut lihat mas agus,-1
339,kaya jaman mos sekolah udd uded nkangen nis with anies pic u,-1
340,ahok dii ramein ndimas kanjeng aa gatot atau ustadz guntur bumi yang jelas bukti guna ayat al qur an,-1
341,dan mas agus ikut dlm konstetasi politik karena calon oleh beberapa partai dan benar tidak pernah duga sebelumny u,-1
342,tara institut nilai mui politik tdk sehat,-1
343,hahaha njadi yg dukung anies sandi sekarang sdh ga anti china lagi ya nsdh dpt hidayah rupa ua,-1
344,tarik banget nih bincang di tanya cerdas dari mbak najwa sanggup imbang agus yudhoyono d,-1
345,agus sableng anjiirrr udd ude udd ude udd ude ngakak sayaaaa,-1
346,saya lihat data lsi soal pilkada dki yang kejut survei okt ahok potensial kalah,-1
347,wadduh mungkin disamain diri mrk dlm buat krn bayar yah jgn pake ukur baju sendiri ke org lain dong,-1
348,ahok jelas alas puluh sekolah di dki gagal bangun tahun ini ahok jelas alas gagal ban,-1
